Month,Avg_Max_Temperature_C,Avg_Min_Temperature_C,Total_Precipitation_mm
2026-02,22.8,8.5,9.3
2026-03,25.5,13.9,103.1
2026-04,28.3,16.3,140.1
2026-05,35.4,23.0,7.6
2026-06,38.4,26.7,7.3
2026-07,36.7,26.8,146.7
